,YEAR,WEEK,% WEIGHTED ILI,epiweek
157,2000,40,1.04113,1
158,2000,41,1.2871,2
159,2000,42,1.28299,3
160,2000,43,1.34081,4
161,2000,44,1.0555,5
162,2000,45,1.14136,6
163,2000,46,1.44111,7
164,2000,47,1.95735,8
165,2000,48,1.61928,9
166,2000,49,1.7844,10
167,2000,50,2.34423,11
168,2000,51,2.69528,12
169,2000,52,3.8618,13
170,2001,1,3.505,14
171,2001,2,3.43804,15
172,2001,3,4.3928,16
173,2001,4,4.21339,17
174,2001,5,4.35364,18
175,2001,6,3.69969,19
176,2001,7,2.81921,20
177,2001,8,2.55294,21
178,2001,9,1.90167,22
179,2001,10,1.68033,23
180,2001,11,1.6254,24
181,2001,12,1.45957,25
182,2001,13,1.32376,26
183,2001,14,0.920073,27
184,2001,15,0.779257,28
185,2001,16,0.991303,29
186,2001,17,0.82693,30
187,2001,18,0.588952,31
188,2001,19,0.605586,32
189,2001,20,0.49434,33
209,2001,40,1.41046,1
210,2001,41,1.77019,2
211,2001,42,1.61904,3
212,2001,43,1.77065,4
213,2001,44,1.93891,5
214,2001,45,1.63439,6
215,2001,46,1.90363,7
216,2001,47,1.80556,8
217,2001,48,1.75506,9
218,2001,49,1.53023,10
219,2001,50,1.46161,11
220,2001,51,1.96048,12
221,2001,52,2.20435,13
222,2002,1,2.1348,14
223,2002,2,1.89441,15
224,2002,3,2.83109,16
225,2002,4,3.30481,17
226,2002,5,3.61063,18
227,2002,6,3.42799,19
228,2002,7,3.76715,20
229,2002,8,3.60018,21
230,2002,9,3.20024,22
231,2002,10,2.92633,23
232,2002,11,2.85857,24
233,2002,12,2.34745,25
234,2002,13,2.23498,26
235,2002,14,1.99355,27
236,2002,15,1.37168,28
237,2002,16,1.27033,29
238,2002,17,0.999331,30
239,2002,18,1.172,31
240,2002,19,1.03472,32
241,2002,20,0.703599,33
261,2002,40,1.22262,1
262,2002,41,1.33344,2
263,2002,42,1.31929,3
264,2002,43,1.49484,4
265,2002,44,1.47195,5
266,2002,45,1.58094,6
267,2002,46,1.49426,7
268,2002,47,1.40569,8
269,2002,48,1.6141,9
270,2002,49,1.45967,10
271,2002,50,1.59896,11
272,2002,51,2.16697,12
273,2002,52,2.57842,13
274,2003,1,2.38636,15
275,2003,2,1.73621,16
276,2003,3,2.06296,17
277,2003,4,2.58113,18
278,2003,5,2.93909,19
279,2003,6,3.22539,20
280,2003,7,3.06982,21
281,2003,8,3.20044,22
